id,account_name,stage,amount,probability,days_in_stage,last_contact_days_ago,notes
OPP-001,Acme Bank,Proposal,117196,0.38,19,4,Decision maker is blocked and wants to pause discussion for now.
OPP-002,Northern Grid,Proposal,75302,0.31,10,6,Customer sees us as preferred vendor pending contract review. Legal and procurement may add additional delays.
OPP-003,Maple Retail,Qualification,55962,0.21,15,17,Waiting for customer to confirm internal meeting date.
OPP-004,Evergreen Health,Qualification,32298,0.16,14,27,Waiting for customer to confirm internal meeting date.
OPP-005,Prairie Telecom,Discovery,99131,0.25,7,23,Waiting for customer to confirm internal meeting date.
OPP-006,Evergreen Health,Closed Lost,50656,0.08,90,46,Competitor mentioned as alternative with lower price.
OPP-007,Skyline Logistics,Proposal,29116,0.31,19,24,Client very engaged and sees strong value in the solution.
OPP-008,Evergreen Health,Closed Won,102869,0.89,56,17,Customer asked for additional documentation.
OPP-009,Skyline Logistics,Proposal,109593,0.49,43,20,Stakeholders aligned and interested in moving forward. Legal and procurement may add additional delays.
OPP-010,Maple Retail,Discovery,110198,0.31,48,10,Risk of losing to competitor if we cannot improve proposal.
OPP-011,Acme Bank,Prospecting,30673,0.11,5,9,Client thinks current proposal is too expensive.
OPP-012,Maple Retail,Discovery,85435,0.28,46,14,Stakeholders aligned and interested in moving forward.
OPP-013,Velocity Capital,Discovery,90644,0.25,42,13,Project on hold due to internal re-org; risk of delay.
OPP-014,City Health,Discovery,86784,0.30,53,1,Budget constraints mentioned; might delay decision.
OPP-015,Maple Retail,Proposal,75333,0.48,29,12,Client requested a high-level summary for leadership.
OPP-016,Acme Bank,Closed Lost,60029,0.10,78,55,Technical fit confirmed; next step is commercial review.
OPP-017,Evergreen Health,Qualification,20365,0.19,17,19,Client thinks current proposal is too expensive.
OPP-018,Macro Finance,Closed Won,197496,0.90,35,16,Customer asked for additional documentation.
OPP-019,Velocity Capital,Proposal,20074,0.48,36,0,Technical fit confirmed; next step is commercial review.
OPP-020,Macro Finance,Negotiation,92770,0.42,41,30,Positive feedback from the last demo; awaiting internal approval.
